Feature,Importance
Equity to Liability,2.4580957732732176
Debt ratio %,2.0929454620296473
Per Share Net profit before tax (Yuan Â¥),1.637493924304866
Accounts Receivable Turnover,1.55892999020229
Total debt/Total net worth,1.4800203173996507
Cash Flow to Liability,1.3159810852507021
Operating Profit Rate,1.2829632502823276
Net Income to Total Assets,1.1684877332097858
Cash/Total Assets,1.1608924804404976
Inventory and accounts receivable/Net value,1.1287068335407038
Contingent liabilities/Net worth,1.0243892672164732
Operating profit/Paid-in capital,0.9492299047293284
Non-industry income and expenditure/revenue,0.8120701289461397
Current Liability to Liability,0.7662494199741959
Current Liability to Equity,0.7371209998562351
